Title,Description,My use cases for it,Tags,subcategory,image_url,vendor,country of origin,Website URL
OpenAI API,Leading LLM provider and API platform,"Building custom apps, API integration","[LLM, API]",[Models],/img/tools/openai_api.png,OpenAI,USA,https://openai.com/
ChatGPT,Conversational AI model by OpenAI,"General Q&A, brainstorming, writing, deep research, image generation, customGPTs","[LLM, Chatbot, Assistant, deep research]","[Models, Chatbots, Image Gen, Deep Research]",/img/tools/chatgpt.png,OpenAI,USA,https://chat.openai.com/
Gemini,Google's most capable multimodal model,"General Q&A, brainstorming, writing, deep research, image generation, Gems","[LLM, Chatbot, Assistant, deep research]","[Models, Chatbots, Image Gen, Deep Research]",/img/tools/gemini.png,Google,USA,https://gemini.google.com/
Claude,Anthropic's helpful and honest AI assistant,"General Q&A, brainstorming, writing, deep research, image generation, customGPTs","[LLM, Chatbot, Assistant]","[Models, Chatbots, Deep Research]",/img/tools/claude.png,Anthropic,USA,https://claude.ai/
Perplexity,AI-powered answer engine and search,"Fast research, fact-checking, sourcing citations","[Search, Research]","[Search,, Deep Research]",/img/tools/perplexity.png,Perplexity AI,USA,https://www.perplexity.ai/
Cursor,The AI-first code editor,"Coding assistant, refactoring, codebase Q&A, autocomplete","[IDE, agents]","[Coding,Agents]",/img/tools/cursor.png,Anysphere,USA,https://cursor.com/home?from=agents
GitHub Copilot,Your AI pair programmer,"Coding assistant, refactoring, codebase Q&A, autocomplete",[IDE],[Coding],/img/tools/github_copilot.png,Microsoft (GitHub),USA,https://github.com/features/copilot
Midjourney,Hyper-realistic AI art generator,"Creating artistic visuals, thumbnails, ideation","[Image, Art]",[Image Gen],/img/tools/midjourney.png,Midjourney,USA,https://www.midjourney.com/
Stable Diffusion,Open source latent text-to-image diffusion model,"Local image generation, fine-tuning models","[Image, Open Source]",[Image Gen],/img/tools/stable_diffusion.png,Stability AI,UK / USA,https://stability.ai/
ElevenLabs,The most realistic AI audio platform,"Text-to-speech, voice cloning, narration, home automation","[Audio, Voice]","[Audio, home automation]",/img/tools/elevenlabs.png,ElevenLabs,USA,https://elevenlabs.io/
Sora,Text-to-video model (OpenAI),Generating realistic short video clips from text,"[Video, Creative]",[Video],/img/tools/sora.png,OpenAI,USA,https://openai.com/sora
Runway,AI research shaping the next era of art,"Video editing, in-painting, style transfer","[Video, Editing]",[Video],/img/tools/runway.png,Runway AI,USA,https://runwayml.com/
Notion,Connected workspace with AI writing features,"Summarizing notes, drafting docs, organizing projects","[Productivity, Docs]","[Productivity, Notes]",/img/tools/notion.png,Notion Labs,USA,https://www.notion.so/
Gamma,The powerpoint-killer: A new medium for presenting ideas,Generating slide decks and presentations instantly,"[Productivity, Slides]","[Productivity, Slides]",/img/tools/gamma.png,Gamma Tech,USA,https://gamma.app/
Canva,Design platform with Magic Studio AI,"Social media graphics, cards, Ã¢â‚¬Â¦","[Design, Graphics]",[Design],/img/tools/canva.png,Canva,Australia,https://www.canva.com/
LangChain,Framework for developing LLM applications,"Chaining prompts, connecting LLMs to data, designing agents","[Dev, Framework]","[Development,Agents]",/img/tools/langchain.png,LangChain,USA,https://langchain.com/
Ollama,Get up and running with Llama 2 and other models,Running open-source LLMs locally,"[Dev, Local]","[Platform, Models, Development, Local]",/img/tools/ollama.png,Ollama,USA,https://ollama.com/
Hugging Face,The AI community building the future,"Hosting models, datasets, and demos","[Platform, Open Source]","[Platform, Models, Development, Local]",/img/tools/hugging_face.png,Hugging Face,USA / France,https://huggingface.co/
Kaggle,Community of data scientists and machine learning,"Finding datasets, competitions, notebooks","[Platform, Data]","[Platform, Development]",/img/tools/kaggle.png,Google,USA,https://www.kaggle.com/
PromptHive,Prompt engineering and management platform,Organizing and testing prompts,"[Tool, Management]","[Productivity, Prompt library]",/img/tools/prompthive.png,PromptHive,Belgium,https://github.com/jovd83/prompthive
Manus,General-purpose autonomous AI agent,"Executing complex tasks end-to-end, deep research","[Agent, research, Automation]","[Agents, Deep Research]",/img/tools/manus.png,Meta,Singapore,https://manus.im/
Genspark,AI Agent Workspace & Sparkpages,"Research, generating briefs, work preperation, graphs, tables, Ã¢â‚¬Â¦.",[Productivity],[Productivity],/img/tools/genspark.png,Mainfunc Inc.,USA,https://genspark.ai/
Napkin,Visual AI for business storytelling,Turning text into visuals and charts,"[Design, Visuals]",[Design],/img/tools/napkin.png,Napkin Inc.,USA,https://napkin.ai/
Guidde,Generative AI platform for video documentation,Creating how-to videos and guides automatically,"[Productivity, Video]",[Productivity],/img/tools/guidde.png,Guidde,USA / Israel,https://guidde.com/
Phind,AI search with sources and references,checking sources,"[LLM, Chatbot, Assistant]","[Models, Chatbots]",/img/tools/phind.png,Phind,USA,https://www.phind.com/
NotebookLM,AI-powered research and note-taking tool,"Chatting with your documents, synthesizing sources, personal RAG","[Research, Notes, Slides]","[Productivity, Audio, Search, Slides, Image Gen]",/img/tools/notebooklm.png,Google,USA,https://notebooklm.google.com/
TestZeus Hercules,AI-powered test automation,"BDD automation, Automating UI and regression testing","[Testing, QA, BDD]",[Testing],/img/tools/testzeus_hercules.png,TestZeus,India,https://testzeus.com/hercules
Kusho.ai,AI agent for API testing,Generating test suites from API specs,"[Testing, API, openAPI, REST, SOAP]",[Testing],/img/tools/kusho_ai.png,Kusho,USA,https://kusho.ai/
Winston AI,AI content detection solution,Checking text for AI generation,"[Detector, Compliance]",[Detection],/img/tools/winston_ai.png,Winston AI,Canada,https://gowinston.ai/
GPTZero,The gold standard in AI detection,Verifying authenticity of student/writer work,"[Detector,Academic]",[Detection],/img/tools/gptzero.png,GPTZero,USA,https://gptzero.me/
Copyleaks,AI-based plagiarism and content detection,Enterprise copyright and plagiarism checking,"[Detector, Security]",[Detection],/img/tools/copyleaks.png,Copyleaks,USA / Israel,https://copyleaks.com/
Gandalf,AI prompt injection game by Lakera,Learning about LLM security vulnerabilities,"[Security, Game]",[Security Game],/img/tools/gandalf.png,Lakera,Switzerland,https://gandalf.lakera.ai/
LangTail,"Build, test, and deploy AI prompts collaboratively. Manage your team's AI workflow from ideation to production.",,[Dev],[Development],/img/tools/langtail.png,Langtail,Czech Republic,https://langtail.com/
Playwright Agents,Reliable end-to-end testing for modern web apps,Browser automation and web scraping,[Testing],[Testing],/img/tools/playwright_agents.png,Microsoft,USA,https://playwright.dev/docs/test-agents
Sembly,AI meeting assistant,Transcribing and analyzing meetings,"[Productivity, Meeting, Teams]",[Meeting],/img/tools/sembly.png,Sembly AI,USA,https://www.sembly.ai/
Google Antigravity,Agent-first IDE and development platform,"Coding assistant, refactoring, codebase Q&A, autocomplete",[IDE],[Coding],/img/tools/google_antigravity.png,Google,USA,https://antigravity.google/
Google Whisk,AI Image-to-Image remixing tool,"Creative brainstorming, style transfer, visual remixing","[Image, Design]",[Image Gen],/img/tools/google_whisk.png,Google (Labs),USA,https://labs.google/whisk
Google Flow,AI filmmaking and video creation tool,"Creating cinematic clips, generating video from text","[Video, Creative]",[Video],/img/tools/google_flow.png,Google (DeepMind),USA,https://labs.google/flow
Claude Skills,Agent Skills system for Claude,Teaching Claude specific workflows via markdown instructions,"[Dev, Agent]",[Development],/img/tools/claude_skills.png,Anthropic,USA,https://code.claude.com/docs/en/skills
MCP,Model Context Protocol (Open Standard),Connecting AI assistants to local data and tools,"[Dev, Protocol]",[Development],/img/tools/mcp.png,Anthropic / Open Source,USA,https://modelcontextprotocol.io/
Le Chat,Mistral AI's conversational assistant,"General Q&A, brainstorming, writing","[LLM, Chatbot, Assistant]","[Models, Chatbots]",/img/tools/le_chat.png,Mistral AI,France,https://chat.mistral.ai/
OpenAI Agent Builder,Visual drag-and-drop agent creator,Building custom GPTs and agents without code,"[Agent, No-Code]",[Agents],/img/tools/openai_agent_builder.png,OpenAI,USA,https://platform.openai.com/agent-builder
Mermaid,JavaScript-based diagramming tool,"Creating flowcharts, documentation, diagrams from text","[Dev, Diagrams]","[Development, Productivity]",/img/tools/mermaid.png,Mermaid Chart,USA,https://mermaid.js.org/
LM Studio,Desktop app for running local LLMs,"Running private models, testing LLMs offline","[Dev, Local AI]","[Platform, Models, Development, Local, Chatbots]",/img/tools/lm_studio.png,LM Studio,USA,https://lmstudio.ai/
SSSModel,Multi-LLM aggregator platform,"Comparing model responses, generating diverse viewpoints","[LLM, Aggregator]","[Models, Chatbots]",/img/tools/sssmodel.png,SSSModel,Global,https://sssmodel.com/
Google AI Studio,Web-based prototyping environment for Gemini,"Prototyping prompts, testing Gemini API, creating apps","[Dev, Prototyping]",[Development],/img/tools/google_ai_studio.png,Google,USA,https://aistudio.google.com/
ZeroGPT,Advanced AI content detector,"Checking text for AI generation, plagiarism detection","[Detector, Analysis]",[Detection],/img/tools/zerogpt.png,ZeroGPT,Germany,https://www.zerogpt.com/
Giskard Red,Automated AI Red Teaming Hub,"Finding vulnerabilities, testing agent logic, continuous red teaming","[Security, Game]",[Security Game],/img/tools/giskard_red.png,Giskard,France,https://red.giskard.ai/
Tactiq,Real-time AI meeting transcription and summaries,"Capturing meeting notes, extracting action items, multi-language transcription","[Productivity], [Meeting]","[Productivity, Meeting]",/img/tools/tactiq.png,Tactiq,Australia,https://tactiq.io/
Immersive Labs Prompting,GenAI security and prompt injection training labs,"Gamified security training, learning prompt injection techniques","[Security, Game]",[Security Game],/img/tools/immersive_labs_prompting.png,Immersive Labs,UK / USA,https://prompting.ai.immersivelabs.com/
Gemini Gems,Custom AI experts and assistants within Gemini,"Creating persona-based assistants, saving complex prompt workflows","[Agent, Custom prompts]","[Chatbots,Agents]",/img/tools/gemini_gems.png,Google,USA,https://gemini.google.com/gems
CustomGPT.ai,Platform for building custom business chatbots,building reusable prompts,"[Agent, Custom prompts]","[Chatbots,Agents]",/img/tools/customgpt_ai.png,CustomGPT,USA,https://customgpt.ai/
Kling AI,High-quality AI video generation model,"Generating cinematic clips, image-to-video animation","[Video, Creative]",[Video],/img/tools/kling_ai.png,Kuaishou,China,https://klingai.com/
Jupyter Notebooks,Interactive computing platform for data science,"Running Python code, testing API calls, visualizing data","[Dev, Data]",[Development],/img/tools/jupyter_notebooks.png,Project Jupyter,USA / Global,https://jupyter.org/
LibreChat,Open-source enhanced chat interface,"Unified UI for multiple LLMs, organizing chat history, plugin support","[Dev, Local AI]","[Platform, Models, Development, Local, Chatbots]",/img/tools/librechat.png,LibreChat,USA,https://www.librechat.ai/
Nano Banana Pro,Google's state-of-the-art image generation model (Gemini 3 Pro Image),"High-fidelity image generation, complex text rendering in images","[Image, Model]",[Image Gen],/img/tools/nano_banana_pro.png,Google,USA,https://gemini.google.com/
DeepL,The world's most accurate AI translator,"Translating documentation, communicating with international teams, refining non-native writing","[Translation], [Productivity]",[Productivity],/img/tools/deepl.png,DeepL SE,Germany,https://www.deepl.com/
Microsoft Copilot,AI companion from Microsoft and integrated into Microsoft 365," summarizing Teams meetings, drafting emails in Outlook, analyzing Excel data","[Assistant], [Office]",[Chatbots],/img/tools/microsoft_copilot.png,Microsoft,USA,https://copilot.microsoft.com/
Mistral,European AI champion,,"[LLM, Chatbot, Assistant]","[Models, Chatbots]",/img/tools/mistral.png,Mistral AI,France,https://mistral.ai/
Testcraft,Codeless  test automation browser plugin,Discovering frontend tests on a webpage,[Testing],[Testing],/img/tools/testcraft.png,Perforce,USA / Israel,https://www.perforce.com/products/testcraft
Testers.ai,AI-native software testing agents,"Autonomous regression testing, generating test cases from user personas",[Testing],[Testing],/img/tools/testers_ai.png,Testers.ai,USA,https://testers.ai/
HeyGen,AI video generator for talking avatars,"Creating marketing videos, training materials with consistent avatars","[Video, Avatar]",[Video],/img/tools/heygen.png,HeyGen,USA,https://www.heygen.com/
Grok,AI with real-time knowledge from X,"Research, coding, witty conversation","[LLM, Chatbot, Assistant]","[Models, Chatbots]",/img/tools/grok.png,xAI,USA,https://grok.com/
